"","Province_State","Date","Confirmed","Deaths","confirmed_changes","death_changes"
"468","American Samoa",2020-04-22,0,0,0,0
"469","American Samoa",2020-04-23,0,0,0,0
"470","American Samoa",2020-04-24,0,0,0,0
"471","American Samoa",2020-04-25,0,0,0,0
"472","American Samoa",2020-04-26,0,0,0,0
"473","American Samoa",2020-04-27,0,0,0,0
"474","American Samoa",2020-04-28,0,0,0,0
"475","American Samoa",2020-04-29,0,0,0,0
"476","American Samoa",2020-04-30,0,0,0,0
"477","American Samoa",2020-05-01,0,0,0,0
"478","American Samoa",2020-05-02,0,0,0,0
"479","American Samoa",2020-05-03,0,0,0,0
"480","American Samoa",2020-05-04,0,0,0,0
"481","American Samoa",2020-05-05,0,0,0,0
"482","American Samoa",2020-05-06,0,0,0,0
"483","American Samoa",2020-05-07,0,0,0,0
"484","American Samoa",2020-05-08,0,0,0,0
"485","American Samoa",2020-05-09,0,0,0,0
"486","American Samoa",2020-05-10,0,0,0,0
"487","American Samoa",2020-05-11,0,0,0,0
"488","American Samoa",2020-05-12,0,0,0,0
"489","American Samoa",2020-05-13,0,0,0,0
"490","American Samoa",2020-05-14,0,0,0,0
"491","American Samoa",2020-05-15,0,0,0,0
"492","American Samoa",2020-05-16,0,0,0,0
"493","American Samoa",2020-05-17,0,0,0,0
"494","American Samoa",2020-05-18,0,0,0,0
"495","American Samoa",2020-05-19,0,0,0,0
"496","American Samoa",2020-05-20,0,0,0,0
"497","American Samoa",2020-05-21,0,0,0,0
"498","American Samoa",2020-05-22,0,0,0,0
"499","American Samoa",2020-05-23,0,0,0,0
"500","American Samoa",2020-05-24,0,0,0,0
"501","American Samoa",2020-05-25,0,0,0,0
"502","American Samoa",2020-05-26,0,0,0,0
"503","American Samoa",2020-05-27,0,0,0,0
"504","American Samoa",2020-05-28,0,0,0,0
"505","American Samoa",2020-05-29,0,0,0,0
"506","American Samoa",2020-05-30,0,0,0,0
"507","American Samoa",2020-05-31,0,0,0,0
"508","American Samoa",2020-06-01,0,0,0,0
"509","American Samoa",2020-06-02,0,0,0,0
"510","American Samoa",2020-06-03,0,0,0,0
"511","American Samoa",2020-06-04,0,0,0,0
"512","American Samoa",2020-06-05,0,0,0,0
"513","American Samoa",2020-06-06,0,0,0,0
"514","American Samoa",2020-06-07,0,0,0,0
"515","American Samoa",2020-06-08,0,0,0,0
"516","American Samoa",2020-06-09,0,0,0,0
"517","American Samoa",2020-06-10,0,0,0,0
"518","American Samoa",2020-06-11,0,0,0,0
"519","American Samoa",2020-06-12,0,0,0,0
"520","American Samoa",2020-06-13,0,0,0,0
"521","American Samoa",2020-06-14,0,0,0,0
"522","American Samoa",2020-06-15,0,0,0,0
"523","American Samoa",2020-06-16,0,0,0,0
"524","American Samoa",2020-06-17,0,0,0,0
"525","American Samoa",2020-06-18,0,0,0,0
"526","American Samoa",2020-06-19,0,0,0,0
"527","American Samoa",2020-06-20,0,0,0,0
"528","American Samoa",2020-06-21,0,0,0,0
"529","American Samoa",2020-06-22,0,0,0,0
"530","American Samoa",2020-06-23,0,0,0,0
"531","American Samoa",2020-06-24,0,0,0,0
"532","American Samoa",2020-06-25,0,0,0,0
"533","American Samoa",2020-06-26,0,0,0,0
"534","American Samoa",2020-06-27,0,0,0,0
"535","American Samoa",2020-06-28,0,0,0,0
"536","American Samoa",2020-06-29,0,0,0,0
"537","American Samoa",2020-06-30,0,0,0,0
"538","American Samoa",2020-07-01,0,0,0,0
"539","American Samoa",2020-07-02,0,0,0,0
"540","American Samoa",2020-07-03,0,0,0,0
"541","American Samoa",2020-07-04,0,0,0,0
"542","American Samoa",2020-07-05,0,0,0,0
"543","American Samoa",2020-07-06,0,0,0,0
"544","American Samoa",2020-07-07,0,0,0,0
"545","American Samoa",2020-07-08,0,0,0,0
"546","American Samoa",2020-07-09,0,0,0,0
"547","American Samoa",2020-07-10,0,0,0,0
"548","American Samoa",2020-07-11,0,0,0,0
"549","American Samoa",2020-07-12,0,0,0,0
"550","American Samoa",2020-07-13,0,0,0,0
"551","American Samoa",2020-07-14,0,0,0,0
"552","American Samoa",2020-07-15,0,0,0,0
"553","American Samoa",2020-07-16,0,0,0,0
"554","American Samoa",2020-07-17,0,0,0,0
"555","American Samoa",2020-07-18,0,0,0,0
"556","American Samoa",2020-07-19,0,0,0,0
"557","American Samoa",2020-07-20,0,0,0,0
"558","American Samoa",2020-07-21,0,0,0,0
"559","American Samoa",2020-07-22,0,0,0,0
"560","American Samoa",2020-07-23,0,0,0,0
"561","American Samoa",2020-07-24,0,0,0,0
"562","American Samoa",2020-07-25,0,0,0,0
"563","American Samoa",2020-07-26,0,0,0,0
"564","American Samoa",2020-07-27,0,0,0,0
"565","Arizona",2020-01-22,0,0,0,0
"566","Arizona",2020-01-23,0,0,0,0
"567","Arizona",2020-01-24,0,0,0,0
"568","Arizona",2020-01-25,0,0,0,0
"569","Arizona",2020-01-26,0,0,0,0
"570","Arizona",2020-01-27,0,0,0,0
"571","Arizona",2020-01-28,0,0,0,0
"572","Arizona",2020-01-29,0,0,0,0
"573","Arizona",2020-01-30,0,0,0,0
"574","Arizona",2020-01-31,0,0,0,0
"575","Arizona",2020-02-01,0,0,0,0
"576","Arizona",2020-02-02,0,0,0,0
"577","Arizona",2020-02-03,0,0,0,0
"578","Arizona",2020-02-04,0,0,0,0
"579","Arizona",2020-02-05,0,0,0,0
"580","Arizona",2020-02-06,0,0,0,0
"581","Arizona",2020-02-07,0,0,0,0
"582","Arizona",2020-02-08,0,0,0,0
"583","Arizona",2020-02-09,0,0,0,0
"584","Arizona",2020-02-10,0,0,0,0
"585","Arizona",2020-02-11,0,0,0,0
"586","Arizona",2020-02-12,0,0,0,0
"587","Arizona",2020-02-13,0,0,0,0
"588","Arizona",2020-02-14,0,0,0,0
"589","Arizona",2020-02-15,0,0,0,0
"590","Arizona",2020-02-16,0,0,0,0
"591","Arizona",2020-02-17,0,0,0,0
